fighter,weight_class,elo,record,fights,wins,losses,draws,win_rate,finish_rate,last_fight,rank
Gegard Mousasi,Middleweight,1636.7,8-3-0,11,8,3,0,72.7,75.0,2017-04-08,4
Israel Adesanya,Middleweight,1633.8,13-4-0,17,13,4,0,76.5,38.5,2025-02-01,5
Robert Whittaker,Middleweight,1629.1,14-5-0,19,14,5,0,73.7,35.7,2025-07-26,6
Anthony Hernandez,Middleweight,1625.1,9-3-0,12,9,3,0,75.0,77.8,2026-02-21,7
Yoel Romero,Middleweight,1623.2,9-4-0,13,9,4,0,69.2,77.8,2020-03-07,8
Sean Strickland,Middleweight,1622.5,10-4-0,14,10,4,0,71.4,30.0,2026-02-21,9
Gregory Rodrigues,Middleweight,1616.2,9-3-0,12,9,3,0,75.0,66.7,2025-11-15,10
Khamzat Chimaev,Middleweight,1612.4,5-0-0,5,5,0,0,100.0,60.0,2025-08-16,11
Joe Pyfer,Middleweight,1609.9,6-1-0,7,6,1,0,85.7,83.3,2025-10-04,12
Yushin Okami,Middleweight,1606.8,13-5-0,18,13,5,0,72.2,38.5,2013-09-04,13
Caio Borralho,Middleweight,1605.9,7-1-0,8,7,1,0,87.5,28.6,2025-09-06,14
Derek Brunson,Middleweight,1602.7,14-7-0,21,14,7,0,66.7,64.3,2023-03-04,15
Jared Cannonier,Middleweight,1595.2,8-5-0,13,8,5,0,61.5,62.5,2025-08-16,16
Thiago Santos,Middleweight,1594.5,10-5-0,15,10,5,0,66.7,80.0,2018-08-04,17
Chris Weidman,Middleweight,1593.7,12-6-0,18,12,6,0,66.7,58.3,2024-03-30,18
Michael Bisping,Middleweight,1593.5,16-8-0,24,16,8,0,66.7,43.8,2017-11-25,19
Christian Leroy Duncan,Middleweight,1593.0,6-2-0,8,6,2,0,75.0,83.3,2025-11-08,20
Frank Shamrock,Middleweight,1589.8,4-0-0,4,4,0,0,100.0,100.0,1999-09-24,21
Anderson Silva,Middleweight,1589.0,14-6-1,21,14,6,1,66.7,78.6,2020-10-31,22
Demian Maia,Middleweight,1588.9,9-4-0,13,9,4,0,69.2,55.6,2012-01-28,23
Paulo Costa,Middleweight,1588.6,7-3-0,10,7,3,0,70.0,57.1,2025-07-19,24
Tito Ortiz,Middleweight,1587.4,5-1-0,6,5,1,0,83.3,80.0,2001-02-23,25
Alex Pereira,Middleweight,1586.7,4-1-0,5,4,1,0,80.0,75.0,2023-04-08,26
Elias Theodorou,Middleweight,1585.0,8-3-0,11,8,3,0,72.7,25.0,2019-05-04,27
Mike Swick,Middleweight,1582.6,5-1-0,6,5,1,0,83.3,80.0,2007-04-07,28
Nursulton Ruziboev,Middleweight,1581.0,4-0-0,4,4,0,0,100.0,75.0,2025-05-17,29
Thales Leites,Middleweight,1580.8,13-8-0,21,13,8,0,61.9,53.8,2018-09-22,30
Reinier de Ridder,Middleweight,1580.7,4-1-0,5,4,1,0,80.0,75.0,2025-10-18,31
Edmen Shahbazyan,Middleweight,1578.6,9-5-0,14,9,5,0,64.3,77.8,2025-10-04,32
Bo Nickal,Middleweight,1578.2,5-1-0,6,5,1,0,83.3,80.0,2025-11-15,33
Luke Rockhold,Middleweight,1578.1,6-4-0,10,6,4,0,60.0,100.0,2022-08-20,34
Brunno Ferreira,Middleweight,1578.1,6-2-0,8,6,2,0,75.0,83.3,2025-12-06,34
Uriah Hall,Middleweight,1577.4,10-9-0,19,10,9,0,52.6,80.0,2022-07-02,36
Ateba Gautier,Middleweight,1577.2,4-0-0,4,4,0,0,100.0,75.0,2026-01-24,37
Ikram Aliskerov,Middleweight,1576.9,4-1-0,5,4,1,0,80.0,75.0,2025-10-25,38
Jacare Souza,Middleweight,1574.8,9-6-0,15,9,6,0,60.0,88.9,2021-05-15,39
JunYong Park,Middleweight,1572.5,9-4-0,13,9,4,0,69.2,33.3,2025-10-25,40
Murilo Bustamante,Middleweight,1572.3,3-0-0,3,3,0,0,100.0,100.0,2002-05-10,41
Roman Dolidze,Middleweight,1569.3,6-4-0,10,6,4,0,60.0,66.7,2025-08-09,42
Shara Magomedov,Middleweight,1568.3,5-1-0,6,5,1,0,83.3,40.0,2025-07-26,43
Matt Lindland,Middleweight,1568.1,8-3-0,11,8,3,0,72.7,50.0,2005-08-20,44
Jack Hermansson,Middleweight,1566.8,11-7-0,18,11,7,0,61.1,54.5,2025-06-28,45
Rich Franklin,Middleweight,1566.2,7-3-0,10,7,3,0,70.0,71.4,2012-11-10,46
Omari Akhmedov,Middleweight,1565.2,5-2-1,8,5,2,1,62.5,40.0,2021-07-10,47
Mansur Abdul-Malik,Middleweight,1561.6,3-0-1,4,3,0,1,75.0,100.0,2025-12-06,48
Nate Quarry,Middleweight,1560.1,7-3-0,10,7,3,0,70.0,71.4,2010-03-31,49
Kelvin Gastelum,Middleweight,1558.4,9-7-1,17,9,7,1,52.9,33.3,2025-09-13,50
Zak Cummings,Middleweight,1558.3,4-1-0,5,4,1,0,80.0,50.0,2020-08-29,51
Chael Sonnen,Middleweight,1556.2,6-4-0,10,6,4,0,60.0,16.7,2012-07-07,52
Martin Kampmann,Middleweight,1553.9,4-1-0,5,4,1,0,80.0,75.0,2008-09-06,53
Alan Belcher,Middleweight,1553.9,7-6-0,13,7,6,0,53.8,85.7,2013-04-27,53
Brian Stann,Middleweight,1552.1,4-2-0,6,4,2,0,66.7,100.0,2012-09-22,55
Constantinos Philippou,Middleweight,1551.3,6-3-0,9,6,3,0,66.7,50.0,2015-05-16,56
Michal Oleksiejczuk,Middleweight,1551.2,6-4-0,10,6,4,0,60.0,83.3,2026-02-07,57
Antonio Carlos Junior,Middleweight,1550.7,6-4-1,11,6,4,1,54.5,83.3,2021-01-23,58
Krzysztof Jotko,Middleweight,1550.4,11-6-0,17,11,6,0,64.7,9.1,2022-10-01,59
Cezar Ferreira,Middleweight,1550.3,9-5-0,14,9,5,0,64.3,33.3,2019-07-13,60
Kevin Holland,Middleweight,1549.0,9-6-1,16,9,6,1,56.2,66.7,2025-01-18,61
Gerald Harris,Middleweight,1548.1,3-1-0,4,3,1,0,75.0,100.0,2010-11-20,62
Nate Marquardt,Middleweight,1547.3,13-10-0,23,13,10,0,56.5,69.2,2017-11-11,63
Aaron Simpson,Middleweight,1546.8,6-3-0,9,6,3,0,66.7,33.3,2012-02-15,64
Francis Carmont,Middleweight,1546.5,6-3-0,9,6,3,0,66.7,33.3,2014-08-23,65
Lyoto Machida,Middleweight,1546.3,5-4-0,9,5,4,0,55.6,60.0,2018-05-12,66
Roman Kopylov,Middleweight,1546.2,6-5-0,11,6,5,0,54.5,83.3,2025-11-15,67
Ed Herman,Middleweight,1545.8,9-7-1,17,9,7,1,52.9,66.7,2015-01-31,68
Vitor Belfort,Middleweight,1545.1,7-5-1,13,7,5,1,53.8,85.7,2018-05-12,69
Rousimar Palhares,Middleweight,1544.2,7-4-0,11,7,4,0,63.6,71.4,2012-12-14,70
Rodolfo Vieira,Middleweight,1542.4,6-4-0,10,6,4,0,60.0,83.3,2025-11-15,71
Dan Henderson,Middleweight,1541.3,6-4-0,10,6,4,0,60.0,50.0,2016-10-08,72
Mark Munoz,Middleweight,1539.6,9-5-0,14,9,5,0,64.3,44.4,2015-05-16,73
Jacob Malkoun,Middleweight,1539.3,5-3-0,8,5,3,0,62.5,20.0,2026-01-31,74
Evan Tanner,Middleweight,1538.8,8-5-0,13,8,5,0,61.5,87.5,2008-06-21,75
Chris Curtis,Middleweight,1538.4,5-4-1,10,5,4,1,50.0,60.0,2025-01-11,76
Ricardo Almeida,Middleweight,1537.7,4-2-0,6,4,2,0,66.7,50.0,2009-08-08,77
Magnus Cedenblad,Middleweight,1534.4,4-2-0,6,4,2,0,66.7,75.0,2016-11-19,78
Marvin Vettori,Middleweight,1534.1,8-8-1,17,8,8,1,47.1,25.0,2025-12-06,79
Andre Petroski,Middleweight,1533.5,8-4-0,12,8,4,0,66.7,37.5,2025-09-27,80
Makhmud Muradov,Middleweight,1532.5,4-2-1,7,4,2,1,57.1,50.0,2024-02-03,81
David Terrell,Middleweight,1532.4,2-1-0,3,2,1,0,66.7,100.0,2006-04-15,82
Jorge Rivera,Middleweight,1531.1,8-7-0,15,8,7,0,53.3,62.5,2012-01-20,83
Darren Stewart,Middleweight,1530.9,5-4-1,10,5,4,1,50.0,60.0,2021-03-13,84
Chuck Liddell,Middleweight,1529.7,3-1-0,4,3,1,0,75.0,33.3,2000-12-16,85
Anthony Smith,Middleweight,1528.0,4-3-0,7,4,3,0,57.1,75.0,2018-02-03,86
Dean Lister,Middleweight,1527.9,3-2-0,5,3,2,0,60.0,33.3,2008-12-27,87
Cesar Almeida,Middleweight,1527.8,3-2-0,5,3,2,0,60.0,66.7,2025-12-13,88
Caio Magalhaes,Middleweight,1527.1,4-3-0,7,4,3,0,57.1,75.0,2016-09-10,89
Abus Magomedov,Middleweight,1526.9,4-3-0,7,4,3,0,57.1,50.0,2025-10-04,90
Ismail Naurdiev,Middleweight,1526.7,2-1-0,3,2,1,0,66.7,50.0,2025-11-22,91
Tim Credeur,Middleweight,1525.8,3-2-0,5,3,2,0,60.0,100.0,2011-06-04,92
Tim Boetsch,Middleweight,1525.5,9-8-0,17,9,8,0,52.9,55.6,2019-03-09,93
Wilson Gouveia,Middleweight,1525.1,2-1-0,3,2,1,0,66.7,100.0,2009-02-21,94
Court McGee,Middleweight,1524.9,3-2-0,5,3,2,0,60.0,66.7,2012-07-21,95
Kyle Noke,Middleweight,1524.1,3-2-0,5,3,2,0,60.0,100.0,2012-03-02,96
Marco Tulio,Middleweight,1523.5,2-1-0,3,2,1,0,66.7,100.0,2025-11-08,97
Michel Pereira,Middleweight,1522.8,4-3-0,7,4,3,0,57.1,75.0,2026-02-21,98
Clint Hester,Middleweight,1522.5,4-2-0,6,4,2,0,66.7,50.0,2015-08-01,99
Joaquin Buckley,Middleweight,1521.8,5-4-0,9,5,4,0,55.6,80.0,2022-12-10,100
Azamat Bekoev,Middleweight,1521.7,2-1-0,3,2,1,0,66.7,100.0,2025-10-18,101
Rich Attonito,Middleweight,1520.9,2-1-0,3,2,1,0,66.7,50.0,2010-12-04,102
Andre Muniz,Middleweight,1520.0,6-4-0,10,6,4,0,60.0,50.0,2025-10-04,103
